occurrence_id,token,tex_line,context_sha256,context,classification,obligation_ids,audit_note
UC-69dbf44f21d628fe,maximal,235,60820c3b120ee0644d7a93656c2c96a815e85bb3ac7e7f7285a68ac302c80a06,"Normalizers $B_V=N_G(V^k)$ of stable classes are maximal,",METHODOLOGY-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC;FORMAL-CLEAN;MANUSCRIPT-CODE;COMP-INDEPENDENT,"Roadmap statement; cross-linked to the formal, cited, and computed dependencies it summarizes."
UC-03b62490841d8471,maximality,239,106fb359a6256384e720040b783582eb88c5f707ae16955a882585fab58ae7d3,"maximality, and non-conjugacy kernel-checked in Lean under the",METHODOLOGY-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC;FORMAL-CLEAN;MANUSCRIPT-CODE;COMP-INDEPENDENT,"Roadmap statement; cross-linked to the formal, cited, and computed dependencies it summarizes."
UC-b801a2fc597746da,stable,242,c592a3052df6f6d61b01ee4155e0298766807eee54e915a397604760c4ef5f7d,Divisibility criterion: one stable pair with,METHODOLOGY-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC;FORMAL-CLEAN;MANUSCRIPT-CODE;COMP-INDEPENDENT,"Roadmap statement; cross-linked to the formal, cited, and computed dependencies it summarizes."
UC-4ebfac8441afbf10,all,243,d2366eb255202bc91fdca26e4c9993a8f3dc37d5b1e5b427c8d9395b4ec00ca2,$d>\vp{p}(x)$ excludes $S^k$ for all $k\geq2$ &,METHODOLOGY-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC;FORMAL-CLEAN;MANUSCRIPT-CODE;COMP-INDEPENDENT,"Roadmap statement; cross-linked to the formal, cited, and computed dependencies it summarizes."
UC-9afd25a0b197b5f4,Stable,248,0c9e92e048ad9329e584e9e84f099736df6249a3ff0a2c191dac66a1a6645039,Stable pairs exist for every infinite family &,METHODOLOGY-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC;FORMAL-CLEAN;MANUSCRIPT-CODE;COMP-INDEPENDENT,"Roadmap statement; cross-linked to the formal, cited, and computed dependencies it summarizes."
UC-0d9b2dc009e35c54,every,248,0c9e92e048ad9329e584e9e84f099736df6249a3ff0a2c191dac66a1a6645039,Stable pairs exist for every infinite family &,METHODOLOGY-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC;FORMAL-CLEAN;MANUSCRIPT-CODE;COMP-INDEPENDENT,"Roadmap statement; cross-linked to the formal, cited, and computed dependencies it summarizes."
UC-189ac4250b77bba6,every,254,cbde62d721abd4593a91e5a15608150449a73951f1adedba1a292088a71173f4,GAP certificates for every machine-routed case; the $38$ upper-range,METHODOLOGY-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC;FORMAL-CLEAN;MANUSCRIPT-CODE;COMP-INDEPENDENT,"Roadmap statement; cross-linked to the formal, cited, and computed dependencies it summarizes."
UC-ef64e8f5912841d2,Every,262,e01541edfdb414bf7efd9cf505a7672c396f176408394babbf07706f4c6598c0,Every machine-backed claim in \S\ref{sec:machine} names its script and,METHODOLOGY-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC;FORMAL-CLEAN;MANUSCRIPT-CODE;COMP-INDEPENDENT,"Roadmap statement; cross-linked to the formal, cited, and computed dependencies it summarizes."
UC-81e08c14fb86069b,all,270,d0b40df021d98a5f03aeeee2d23eafed0f86ed6d5ce7b84a44d504ad19cf4405,"If $G=AB$ for subgroups $A,B$, then $G=A^xB^y$ for all $x,y\in G$.",MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-0e8590a8e5291991,maximal,283,eb2dbf0dd05abfc957d917e0cb0a5539f63d850690bc94e5c230dc90e769bcd5,of maximal subgroups: it says every pair of \emph{distinct classes} has,MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-17e5f71b2b98b33d,every,283,eb2dbf0dd05abfc957d917e0cb0a5539f63d850690bc94e5c230dc90e769bcd5,of maximal subgroups: it says every pair of \emph{distinct classes} has,MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-d1838ba88325aad7,every,284,0517051998a8d61c8b59ad9e0a9b66be5dc0258a177ac440f1a9b6e7c3513dfa,one (hence every) representative pair factorizing $G$.,MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-97c91d42d3e149ad,Maximal,291,06b9a73e07ca28cc6cf458a0f3e6833c9d6ec4ea26d5f57d7d27887803f7b844,Maximal subgroups of $G/K$ are the images of the maximal subgroups of $G$,MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-e2f2ab35d2c9fb94,maximal,291,06b9a73e07ca28cc6cf458a0f3e6833c9d6ec4ea26d5f57d7d27887803f7b844,Maximal subgroups of $G/K$ are the images of the maximal subgroups of $G$,MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-e48e60ae671835d0,unique,298,c4716277496f09723c67a89cb6631e189cadb6dd44171c8345c199ecf32c64e2,Then $G$ has a unique minimal normal subgroup $N=S^k$ with $S$ non-abelian,MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-393711b93a1d742d,Every,305,73c7317e801a4a5cc811e09d96ed4cf9bb276c43be73599e2503e00c183bbb63,Every proper quotient of $G$ has property $\mathrm{P}$,MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-40f6780d6a88d04f,unique,312,a12c071ac8715ffce95a7f473403cbb8934f9405f742dc6a819abf502f9eee0f,"Hence there is a unique minimal normal subgroup $N=S^k$, $S$ non-abelian",MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-5f491037a93cd550,uniqueness,315,d0bebf79091ce09542f24d5e56f34dcb001dc38e44fa460cba462e4961a89011,"a minimal normal subgroup of $G$, necessarily $N$ by uniqueness,",MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-2807d0bf0a8d2275,unique,323,cf06537faa674adc030e036bb655c30f614cf28542a09154d5f597f79fbc1b93,realization in the unique-minimal-normal-subgroup setting. Finally $G/N$ is soluble because it is a,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-120c600679381c3c,all,331,a060c16079244c8fb86a78c18ad66e413155d449adb4b28fc4fa8e05e509e391,"coordinate-transitivity all coordinates give the same $X$ up to conjugacy,",MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-857f0a50a6f3797d,every,342,edefc5f6f9e26867cc3405b031382adf921222dcb8f796962b15ef845868ac42,"Lemma~\ref{lem:conj}), places every component of every element",MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-458e73da7c599c57,every,342,edefc5f6f9e26867cc3405b031382adf921222dcb8f796962b15ef845868ac42,"Lemma~\ref{lem:conj}), places every component of every element",MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-d9796b6c67ef5798,every,361,faeeb7246dc87915c9bf5c12db6461ee7b434c991e23e4682406e3c3af09759d,"After the normalization above, every $a_{g,i}$ lies in $X$. We retain",MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-022a478cb9aec8c5,all,368,476eec70fa2feec900efade30fc865b605dde74acee2d076804a1b08167751d3,"Then $t$ divides $x^k\,k!$. Since property $\mathrm{P}$ and all criteria",MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-0c6231e9db7adc1f,maximal,379,71f9c096048899c83d19cf154d6a931f79b01499130391972436701907892923,"If $M\supseteq N$ is maximal and $B$ is maximal with $B\not\supseteq N$,",MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-9d4f4964fb6fc350,maximal,379,71f9c096048899c83d19cf154d6a931f79b01499130391972436701907892923,"If $M\supseteq N$ is maximal and $B$ is maximal with $B\not\supseteq N$,",MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-be58d68efb2c3689,maximal,380,b429173c2bb2d4632b2418add1477ab3f5bd312a57e5a0848480b087331c908a,"then $BN=G$ ($BN$ is a subgroup strictly containing the maximal $B$),",MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-35a20417947323d6,every,383,90c8921fb6fc7e02651a1ff9f1898e75361b99d24a5873c54b5a319e9d4089e8,factorization of every pair of non-conjugate maximal subgroups not,MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-7617035a38acefcb,maximal,383,90c8921fb6fc7e02651a1ff9f1898e75361b99d24a5873c54b5a319e9d4089e8,factorization of every pair of non-conjugate maximal subgroups not,MATHEMATICAL-CLAIM,RED-QUOT;RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND,"Reduction/coordinate claim; routed to the reduction proof, exact structural source, and formal checks."
UC-c7098f5ea554be11,stable,391,6c96c03c1f7bc05be9da0c2a2a8ccb13da0b56acd3c35fe7c97767f7a7e277f9,"$S$-conjugacy class. An $S$-class is \emph{$X$-stable} if $X$ permutes it,",DEFINITION,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Definition or fixed notation; its later mathematical uses are routed by the surrounding proof obligations.
UC-2190b197c779e498,every,392,13a4c5c4e0a09e959047c4160b046cfa22a3465f7c85d10ec9e1d85fe5bf50a6,i.e.\ $V^a$ is $S$-conjugate to $V$ for every $a\in X$ ($\Inn$-stability,DEFINITION,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Definition or fixed notation; its later mathematical uses are routed by the surrounding proof obligations.
UC-6b1b4b99f35d5fea,automatic,393,805ea7640dc4788ceb81d1716388295e19558f8bf9632baac09ba2deaa1e6c8b,being automatic).,DEFINITION,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Definition or fixed notation; its later mathematical uses are routed by the surrounding proof obligations.
UC-b862ef8a054e8b7e,stable,396,ef3b93fd3a6a2ea76f00f5303ddf229508aa2c662486abece92bf70a82184b89,"$\Pos_X(S):=\{\,[V] : 1<V<S,\ N_S(V)=V,\ [V]\ X\text{-stable}\,\}$,",DEFINITION,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Definition or fixed notation; its later mathematical uses are routed by the surrounding proof obligations.
UC-43529490574c0053,every,399,bffbe35d138ba801a73f1173fdbb5fa97f9bd73755e0010baa43ad6f0d7b8903,\emph{normally saturating} if $\langle V^W\rangle=W$ for every overgroup,DEFINITION,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Definition or fixed notation; its later mathematical uses are routed by the surrounding proof obligations.
UC-c7c623f3c70e09c8,maximal,404,9869faadb8f9a3152eb6e2e8fc1021d9ae499a4e3d7ece2889c8642179600864,"If $V$ is a \emph{maximal} subgroup of $S$ then, whenever $[V]$ is",MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-73d53fc175f0f9fd,stable,405,71042004174fd958b42b3eca82e75382766fa780c4488ec9627a1f127f0fad0a,$X$-stable: $[V]\in\Pos_X(S)$ (maximal subgroups of a non-abelian simple,MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-c5955189b10a8d39,maximal,405,71042004174fd958b42b3eca82e75382766fa780c4488ec9627a1f127f0fad0a,$X$-stable: $[V]\in\Pos_X(S)$ (maximal subgroups of a non-abelian simple,MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-f2abd50fedd4af42,maximal,406,01072f7812a70a6d7bf72ddccca0033bd19929fa12e5c68de8d921974dc263b0,"group are self-normalizing), $[V]$ is a maximal element of the poset, and",MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-ab7b0ca319013ab9,maximal,408,af54d5873a96cbbf429437e997d04dd513480479b6fb3a72bba84cb26e533ea3,$\langle V^S\rangle=S$ by simplicity). So for maximal classes the lemmas,MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-3811158d393aa99f,exactly,417,c43935bd553dda43a6ace0f7124f424211f628c3a517b212656607941aa8685c,\item $|B_V|=t\cdot|V|^k$ exactly.,MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-2b0330b590ef060a,every,425,96244dfdfdb5598b72f95825b2e4d209aeab983a04f2c956b036672805cac4e5,"since every coordinate of $V^k$ is $V$,",MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-1ad430cc66bffd58,Maximality,436,4827ac465055dfec565a73772967a6c2f8dccc5ca5ef1a8ca0732ce6a140cde6,\begin{lemma}[Maximality]\label{lem:B},MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-2a4cf622d5e56ffe,maximal,437,b2778cda4dbcbf51f2a2471ce90f27922ab4ca6ce81864f2ee9c21b015a833e9,If in addition $[V]$ is a maximal element of $\Pos_X(S)$ and $V$ is,MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-28e357e1beb3529e,maximal,438,00c5dedaf58fbb94c74b98540e1584229262b19a7560232ff661d9475ab06d28,"normally saturating, then $B_V$ is maximal in $G$.",MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-c98c1edc8ff89961,every,448,05a31b3e3085f53ffd1b1abdc8e11acd004349f4fe043a3fc1bb78d58b1e13a4,"$n\in N$); $n$ fixes every coordinate, hence so does $h$, so $h\in H_1$",MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-ca0ba125f4c074b3,stable,451,0a81e405b4cf5f7ade67221b17797144817ea38c7e1b4eeed46e29c19af6e1b3,of subgroups of $S$ is $X$-stable iff it is stable under $\pi_1(H_1)$.,MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-40e4415068650208,stable,451,0a81e405b4cf5f7ade67221b17797144817ea38c7e1b4eeed46e29c19af6e1b3,of subgroups of $S$ is $X$-stable iff it is stable under $\pi_1(H_1)$.,MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-8052975b9f2cec91,every,459,a0d0731029a0a79207c1c23d1398d8919fc5dab2700c6557ab6becdcf982a664,$\langle V^{W_i}\rangle=W_i$ by saturation. So $K_i=W_i$ for every $i$,MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-f00a48553c57bc9a,stable,464,674a376d82909015b4735495972f829ae45a5c1f7f08172430bc276de2ba0af0,"$W_1^{\pi_1(h)}=W_1$, so $[W_1]$ is $\pi_1(H_1)$-stable, hence",MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-e78f85b6af40b63d,stable,465,b767846ec4d81200ba2201f67cbf6a968c6cb212ba4f067fcb66c8d578283868,"$X$-stable by Step~1. For any $i$, coordinate-transitivity of $H$",MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-72d8471d21d353ab,stable,469,1e4846559ea25d14efd008b457cec41f82ecbb77acfd7a265ab5d5859ecb6b73,Write $[W]$ for this common $X$-stable class.,MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-cc6af6d9255c72bf,stable,476,6a6ee667120fb7bba43c81730510b9e0e625b8b80c7b0b5d5dda03a9f8ad956d,"$X$-stable ($N_S(W^a)=N_S(W)^a$, so stability propagates up the tower),",MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-a7a3119dad593ce8,Maximality,477,5bb23dc2a252d48d8a30a5256878235c7e8ab47e47907b586af4fdf6b403e4dd,i.e.\ $[U]\in\Pos_X(S)$ with $[U]\geq[W]\geq[V]$. Maximality of $[V]$ in,MATHEMATICAL-CLAIM,SUP-EXIST;SUP-MAX;SUP-NONCONJ;RED-COORD,Product-supplement claim or definition; routed to the corresponding normalized-action lemmas.
UC-2818df4f0605d16d,all,494,726e7895ece1591f18d2c5f1ca07ab0cc4c94d949fd9eef6f078aa41e89d4ab0,"The next lemma supplies, structurally, all hypotheses of",MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-4b899ecd5a46338e,maximal,495,12b005557598eee766973b3647a26437d86ce48c7c3b56fc8ffc5d1da5411cf1,Lemma~\ref{lem:B} for the non-maximal (``novelty'') classes used in,MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-97825ad457ee1a1a,maximal,496,547d2a63e98853b3eba06d41a1761ec13c5dd4721f390a6e6011e38d66bcc79d,\S\ref{sec:families}: the standard parabolic subgroups whose maximal,MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-be7bd157d80cd533,all,499,07736cd6c7698e68a543fd8f74d807ef9dbceb1ce11a12474d588206ea879195,with split $BN$-pair of rank $\ell\geq2$ (all our applications are,MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-fd9785e5040a91d1,maximal,503,fa05f03fef2607bcd65709660cd4a4a4944f949aaa94740632558df151eb4e5b,subgroup $L_J$ is generated by the maximal torus $T$ and the root,MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-f0ca27c01f585b55,maximal,504,343d10262d1a54600cae512755f48e2b598cf3af0c36f833205763e79936c4b6,subgroups of $J$; the maximal parabolic omitting node $i$ is,MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-d12041baf5441b1c,stable,510,ec66e6b9be49db43b4733ddfaca790bee11296e19195a011272441b814b9c252,"\item[(a)] the $S$-class $[Q_J]$ is $X$-stable, and",MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-e7ae348b918ad3d6,every,511,d53181e1129d9ed76a14cda5a989fffc38793308024c401320256cf72391186c,\item[(b)] for every $J\subsetneq K\subsetneq\Delta$ the class $[Q_K]$,MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-1ca7fca95db2006c,stable,512,bd4011bbe9c9b263d95d101c99e45e74630b51bf329fc059706d6e671195cc18,is \emph{not} $X$-stable.,MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-64fe471ceea8fe1b,maximal,514,5c2054945340982980c46efd19334ad27b06971ec0a0e1dbb9a6ddffdc32d12b,"Then $[V]\in\Pos_X(S)$, $[V]$ is a maximal element of $\Pos_X(S)$, and",MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-f13b19db98a20b28,Every,524,af68888828a708ed036d6e028eeca81e65835f8343f898f3a20683443c954e1b,"\emph{Overgroups.} Every subgroup containing $V$ contains $B$, and every",MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-fa819570c9586b85,every,524,af68888828a708ed036d6e028eeca81e65835f8343f898f3a20683443c954e1b,"\emph{Overgroups.} Every subgroup containing $V$ contains $B$, and every",MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-b08e9749f26a692b,maximality,530,5de06a786509afb38c36c3152b9c665eb24d246c35c9264c9ab90aa5ea0b6504,\emph{Poset-maximality.} If $[U]\in\Pos_X(S)$ with $V\leq U^s<S$ for some,MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-c970b29277851824,stable,533,845731c17d328323aba9afbb0791b9f61e73a544158f719e896ea65131bc8724,be $X$-stable.,MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
UC-d934352c5e1212c6,every,543,0bc3e81e8359cdfd570db72f55ca7d9d24933bda2e19250f4699205e8fcf6548,"$\langle B_L^{\,L_K}\rangle$ contains every $L_K$-conjugate of every",MATHEMATICAL-CLAIM,PAR-NOVELTY;SRC-TWISTED-BN;SRC-MAXIMALITY,Parabolic-novelty claim; routed to the structural lemma and exact BN-pair/maximality sources.
