requirement_id,source_section,category,requirement,submission_required,confidence99_required,phd_defense_required,obligation_ids,closure_condition,derived_status,next_action
G6-02,Gate 6,finite base,Assert the exact order of S.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,The primary certificate and independent parser assert the exact field.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-03,Gate 6,finite base,Assert the intended standard identifier of S.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,The primary certificate and independent parser assert the exact field.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-04,Gate 6,finite base,Assert S is normal in the ambient automorphism representation P.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,The primary certificate and independent parser assert the exact field.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-05,Gate 6,finite base,Assert C_P(S)=1.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,The primary certificate and independent parser assert the exact field.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-06,Gate 6,finite base,Assert P/S has the expected outer automorphism structure.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,The primary certificate and independent parser assert the exact field.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-07,Gate 6,finite base,Assert the perfect residual is exactly the intended S.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,The primary certificate and independent parser assert the exact field.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-08,Gate 6,finite base,Enumerate every subgroup X/S <= P/S.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,The primary certificate and independent parser assert the exact field.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-09,Gate 6,finite base,Identify every relevant X-stable subgroup class exactly.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,The primary certificate and independent parser assert the exact field.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-10,Gate 6,finite base,Certify maximality or every novelty hypothesis for each selected subgroup.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,The primary certificate and independent parser assert the exact field.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-11,Gate 6,finite base,Certify the selected pair consists of distinct classes.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,The primary certificate and independent parser assert the exact field.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-12,Gate 6,finite base,Independently recompute every valuation.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,The primary certificate and independent parser assert the exact field.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-13,Gate 6,finite base,Certify the automorphism embedding rather than inferring it only from equal orders.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,The primary certificate and independent parser assert the exact field.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-14,Gate 6,hard failure,Fail on ERROR.,YES,YES,NO,DETERMINISM;MUTATIONS,The suite exits nonzero and the corresponding mutation is detected.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-15,Gate 6,hard failure,Fail on skipped.,YES,YES,NO,DETERMINISM;MUTATIONS,The suite exits nonzero and the corresponding mutation is detected.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-16,Gate 6,hard failure,Fail on fail.,YES,YES,NO,DETERMINISM;MUTATIONS,The suite exits nonzero and the corresponding mutation is detected.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-17,Gate 6,hard failure,Fail on missing class data.,YES,YES,NO,DETERMINISM;MUTATIONS,The suite exits nonzero and the corresponding mutation is detected.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-18,Gate 6,hard failure,Fail on missing maximal-subgroup data.,YES,YES,NO,DETERMINISM;MUTATIONS,The suite exits nonzero and the corresponding mutation is detected.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-19,Gate 6,hard failure,Fail on an unrecognized alias.,YES,YES,NO,DETERMINISM;MUTATIONS,The suite exits nonzero and the corresponding mutation is detected.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-20,Gate 6,hard failure,Fail on an unexpected extra group.,YES,YES,NO,DETERMINISM;MUTATIONS,The suite exits nonzero and the corresponding mutation is detected.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-21,Gate 6,hard failure,Fail when an expected group is absent.,YES,YES,NO,DETERMINISM;MUTATIONS,The suite exits nonzero and the corresponding mutation is detected.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-22,Gate 6,hard failure,Fail on a package-version mismatch.,YES,YES,NO,DETERMINISM;MUTATIONS,The suite exits nonzero and the corresponding mutation is detected.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-23,Gate 6,hard failure,Fail on any regenerated-log difference.,YES,YES,NO,DETERMINISM;MUTATIONS,The suite exits nonzero and the corresponding mutation is detected.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-01,Gate 7,sporadic certificates,Record the exact character-table identifier.,YES,YES,NO,COMP-SPORADIC,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-02,Gate 7,sporadic certificates,Pin the exact CTblLib version.,YES,YES,NO,COMP-ENV;COMP-SPORADIC,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-03,Gate 7,sporadic certificates,Pin the exact AtlasRep version.,YES,YES,NO,COMP-ENV;COMP-SPORADIC,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-04,Gate 7,sporadic certificates,Hash all package inputs.,YES,YES,NO,COMP-ENV,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-05,Gate 7,sporadic certificates,Record the exact outer automorphism order.,YES,YES,NO,COMP-SPORADIC,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-06,Gate 7,sporadic certificates,Record exact Maxes positions or Atlas labels for both classes.,YES,YES,NO,COMP-SPORADIC,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-07,Gate 7,sporadic certificates,Record why each class is automorphism-stable.,YES,YES,NO,COMP-SPORADIC,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-08,Gate 7,sporadic certificates,Record exact subgroup orders.,YES,YES,NO,COMP-SPORADIC,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-09,Gate 7,sporadic certificates,Record the obstruction prime.,YES,YES,NO,COMP-SPORADIC,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-10,Gate 7,sporadic certificates,Record all three valuations.,YES,YES,NO,COMP-SPORADIC;COMP-INDEPENDENT,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-11,Gate 7,sporadic certificates,Give an exact current source proving each selected class is maximal.,YES,YES,NO,SRC-SPORADIC-MAX,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-12,Gate 7,sporadic certificates,Treat CTblLib data as versioned mathematical input.,YES,YES,NO,COMP-ENV;SRC-SPORADIC-MAX,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-13,Gate 7,sporadic certificates,Use unique-order stability only when Maxes is complete and exactly one class has that order.,YES,YES,NO,COMP-SPORADIC;SRC-SPORADIC-MAX,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-14,Gate 7,sporadic certificates,Use class-level information whenever multiple maximal classes share an order.,YES,YES,NO,COMP-SPORADIC;COMP-INDEPENDENT,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G7-15,Gate 7,sporadic certificates,Provide a source-backed Atlas/CTblLib audit trail without requiring a Monster permutation construction.,YES,YES,NO,COMP-SPORADIC;SRC-SPORADIC-MAX,The exact 42-row class/source map and pinned certificate agree.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-ENV-01,Gate 8,environment,Pin the operating-system base.,YES,YES,NO,COMP-ENV,The declarative environment lock and environment checker assert the value.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-ENV-02,Gate 8,environment,Pin the exact GAP executable/source commit.,YES,YES,NO,COMP-ENV,The declarative environment lock and environment checker assert the value.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-ENV-03,Gate 8,environment,Pin every GAP package version.,YES,YES,NO,COMP-ENV,The declarative environment lock and environment checker assert the value.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-ENV-04,Gate 8,environment,Pin the exact Python version.,YES,YES,NO,COMP-ENV,The declarative environment lock and environment checker assert the value.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-ENV-05,Gate 8,environment,Pin the exact proof-assistant version.,YES,YES,NO,COMP-ENV,The declarative environment lock and environment checker assert the value.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-ENV-06,Gate 8,environment,Pin all formal library commits.,YES,YES,NO,COMP-ENV,The declarative environment lock and environment checker assert the value.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-ENV-07,Gate 8,environment,Record locale and architecture where relevant.,YES,YES,NO,COMP-ENV,The declarative environment lock and environment checker assert the value.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-ENV-08,Gate 8,environment,Hash every proof input.,YES,YES,NO,COMP-ENV,The declarative environment lock and environment checker assert the value.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-CR-01,Gate 8,clean room,Run the complete suite from a fresh clone/container on independent machine one.,NO,YES,NO,CLEANROOM,A valid signed/hash-bound receipt exists for the first machine.,OPEN,Run run-cleanroom.sh on the first genuinely independent machine after freezing a clean candidate commit.
G8-CR-02,Gate 8,clean room,Run the complete suite from a fresh clone/container on independent machine two.,NO,YES,NO,CLEANROOM,A valid receipt with a distinct machine fingerprint exists for the second machine.,OPEN,Run run-cleanroom.sh on a second genuinely independent machine at the identical candidate commit.
G8-CR-03,Gate 8,clean room,"Require matching candidate commit, manifests, and byte-identical normalized full-suite output.",NO,YES,NO,CLEANROOM,The two-host comparator rejects any mismatch.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G8-MUT-01,Gate 8,mutation testing,Mutation: remove one simple group from the canonical list.,YES,YES,NO,MUTATIONS,The designated checker exits nonzero on the isolated mutation.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-MUT-02,Gate 8,mutation testing,Mutation: remove one coordinate-closure X case.,YES,YES,NO,MUTATIONS,The designated checker exits nonzero on the isolated mutation.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-MUT-03,Gate 8,mutation testing,Mutation: change one maximal-subgroup class.,YES,YES,NO,MUTATIONS,The designated checker exits nonzero on the isolated mutation.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-MUT-04,Gate 8,mutation testing,Mutation: change one obstruction prime.,YES,YES,NO,MUTATIONS,The designated checker exits nonzero on the isolated mutation.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-MUT-05,Gate 8,mutation testing,Mutation: alter one valuation.,YES,YES,NO,MUTATIONS,The designated checker exits nonzero on the isolated mutation.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-MUT-06,Gate 8,mutation testing,Mutation: corrupt one certificate.,YES,YES,NO,MUTATIONS,The designated checker exits nonzero on the isolated mutation.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-MUT-07,Gate 8,mutation testing,Mutation: force one GAP call to fail.,YES,YES,NO,MUTATIONS,The designated checker exits nonzero on the isolated mutation.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-MUT-08,Gate 8,mutation testing,Mutation: change one package version.,YES,YES,NO,MUTATIONS,The designated checker exits nonzero on the isolated mutation.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-MUT-09,Gate 8,mutation testing,Mutation: leave one TODO in the audit matrix or source ledger.,YES,YES,NO,MUTATIONS,The designated checker exits nonzero on the isolated mutation.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-DET-01,Gate 8,determinism,Forbid unseeded randomness.,YES,YES,NO,DETERMINISM,Static scan and byte-identical full reproduction close the determinism requirement.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-DET-02,Gate 8,determinism,Forbid bounded random-search witness discovery.,YES,YES,NO,DETERMINISM,Static scan and byte-identical full reproduction close the determinism requirement.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-DET-03,Gate 8,determinism,Avoid dependence on unspecified iteration order.,YES,YES,NO,DETERMINISM,Static scan and byte-identical full reproduction close the determinism requirement.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-DET-04,Gate 8,determinism,Do not select the last valid witness without a recorded canonical reason.,YES,YES,NO,DETERMINISM,Static scan and byte-identical full reproduction close the determinism requirement.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G8-DET-05,Gate 8,determinism,Avoid environment-sensitive class numbering unless paired with a stable fingerprint.,YES,YES,NO,DETERMINISM,Static scan and byte-identical full reproduction close the determinism requirement.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G9-SRC-01,Gate 9,literature dependencies,Pinpoint the CFSG family inventory.,YES,YES,NO,SRC-CFSG-PINPOINT,The source ledger contains an exact theorem/table/page and matching-hypothesis note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G9-SRC-02,Gate 9,literature dependencies,Pinpoint twisted-parabolic stability and BN-pair applicability.,YES,YES,NO,SRC-TWISTED-BN,The source ledger contains an exact theorem/table/page and matching-hypothesis note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G9-SRC-03,Gate 9,literature dependencies,Pinpoint every ^2E6 Levi structure used.,YES,YES,NO,SRC-2E6-LEVI,The source ledger contains an exact theorem/table/page and matching-hypothesis note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G9-SRC-04,Gate 9,literature dependencies,Reconcile the TT2010 bibliographic/page discrepancy.,YES,YES,NO,K1-TT,The source ledger contains an exact theorem/table/page and matching-hypothesis note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G9-SRC-05,Gate 9,literature dependencies,Pinpoint every subgroup maximality statement.,YES,YES,NO,SRC-MAXIMALITY,The source ledger contains an exact theorem/table/page and matching-hypothesis note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G9-SRC-06,Gate 9,literature dependencies,Pinpoint every fixed-point subgroup identification.,YES,YES,NO,SRC-AUTOMORPHISMS,The source ledger contains an exact theorem/table/page and matching-hypothesis note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G9-SRC-07,Gate 9,literature dependencies,Pinpoint every outer automorphism formula and exceptional graph action.,YES,YES,NO,SRC-AUTOMORPHISMS,The source ledger contains an exact theorem/table/page and matching-hypothesis note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G9-SRC-08,Gate 9,literature dependencies,Pinpoint every selected Atlas maximality assertion.,YES,YES,NO,SRC-SPORADIC-MAX,The source ledger contains an exact theorem/table/page and matching-hypothesis note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G9-SRC-09,Gate 9,literature dependencies,Pinpoint all family group/subgroup/Levi order formulas.,YES,YES,NO,SRC-ORDER-FORMULAS,The source ledger contains an exact theorem/table/page and matching-hypothesis note.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G9-SRC-10,Gate 9,literature dependencies,Pinpoint the exact Zsigmondy theorem and exceptions.,YES,YES,NO,SRC-ZSIGMONDY,The source ledger contains an exact theorem/table/page and matching-hypothesis note.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G9-SRC-11,Gate 9,literature dependencies,Pinpoint every exceptional isomorphism and simplicity boundary.,YES,YES,NO,SRC-BOUNDARY-ISOMORPHISMS,The source ledger contains an exact theorem/table/page and matching-hypothesis note.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G9-LIT-01,Gate 9,priority search,Search the current official Kourovka Notebook and July 2026 update.,YES,YES,NO,LIT-PRIORITY;LIT-KOUROVKA,Every named database/path is documented with a completed result and no unresolved access limitation.,OPEN,"Complete subscriber-level MathSciNet/citation-chain access, archive query evidence, and update the cautious dated conclusion."
G9-LIT-02,Gate 9,priority search,Search MathSciNet including citation chains.,YES,YES,NO,LIT-PRIORITY;LIT-KOUROVKA,Every named database/path is documented with a completed result and no unresolved access limitation.,OPEN,"Complete subscriber-level MathSciNet/citation-chain access, archive query evidence, and update the cautious dated conclusion."
G9-LIT-03,Gate 9,priority search,Search zbMATH including citation chains.,YES,YES,NO,LIT-PRIORITY;LIT-KOUROVKA,Every named database/path is documented with a completed result and no unresolved access limitation.,OPEN,"Complete subscriber-level MathSciNet/citation-chain access, archive query evidence, and update the cautious dated conclusion."
G9-LIT-04,Gate 9,priority search,Search arXiv.,YES,YES,NO,LIT-PRIORITY;LIT-KOUROVKA,Every named database/path is documented with a completed result and no unresolved access limitation.,OPEN,"Complete subscriber-level MathSciNet/citation-chain access, archive query evidence, and update the cautious dated conclusion."
G9-LIT-05,Gate 9,priority search,Search Crossref.,YES,YES,NO,LIT-PRIORITY;LIT-KOUROVKA,Every named database/path is documented with a completed result and no unresolved access limitation.,OPEN,"Complete subscriber-level MathSciNet/citation-chain access, archive query evidence, and update the cautious dated conclusion."
G9-LIT-06,Gate 9,priority search,Search Google Scholar including citing works.,YES,YES,NO,LIT-PRIORITY;LIT-KOUROVKA,Every named database/path is documented with a completed result and no unresolved access limitation.,OPEN,"Complete subscriber-level MathSciNet/citation-chain access, archive query evidence, and update the cautious dated conclusion."
G9-LIT-07,Gate 9,priority search,"Run Russian-language searches for the problem number, authors, and translated theorem.",YES,YES,NO,LIT-PRIORITY;LIT-KOUROVKA,Every named database/path is documented with a completed result and no unresolved access limitation.,OPEN,"Complete subscriber-level MathSciNet/citation-chain access, archive query evidence, and update the cautious dated conclusion."
G9-LIT-08,Gate 9,priority search,Follow citation chains from TT2010 and later papers.,YES,YES,NO,LIT-PRIORITY;LIT-KOUROVKA,Every named database/path is documented with a completed result and no unresolved access limitation.,OPEN,"Complete subscriber-level MathSciNet/citation-chain access, archive query evidence, and update the cautious dated conclusion."
G9-LIT-09,Gate 9,priority search,Record the search completion date and cautious novelty conclusion.,YES,YES,NO,LIT-PRIORITY;LIT-KOUROVKA,Every named database/path is documented with a completed result and no unresolved access limitation.,OPEN,"Complete subscriber-level MathSciNet/citation-chain access, archive query evidence, and update the cautious dated conclusion."
G9-LIT-10,Gate 9,priority search,Disclose Zenkov 1997 and prohibit absolute first-proof language.,YES,YES,NO,LIT-PRIORITY;LIT-KOUROVKA,Every named database/path is documented with a completed result and no unresolved access limitation.,OPEN,"Complete subscriber-level MathSciNet/citation-chain access, archive query evidence, and update the cautious dated conclusion."
G10-01,Gate 10,logical manuscript audit,Maintain a dependency DAG for the main theorem.,YES,YES,NO,MANUSCRIPT-CODE;DEPENDENCY-AUDIT,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-02,Gate 10,logical manuscript audit,Give every DAG node a manuscript theorem/lemma number.,YES,YES,NO,MANUSCRIPT-CODE;DEPENDENCY-AUDIT,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-03,Gate 10,logical manuscript audit,Give every DAG node exact hypotheses.,YES,YES,NO,MANUSCRIPT-CODE;DEPENDENCY-AUDIT,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-04,Gate 10,logical manuscript audit,Give every DAG node its dependencies.,YES,YES,NO,MANUSCRIPT-CODE;DEPENDENCY-AUDIT,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-05,Gate 10,logical manuscript audit,"Classify every essential node as FORMAL, CITED, COMPUTED, or REDUNDANT.",YES,YES,NO,MANUSCRIPT-CODE;DEPENDENCY-AUDIT,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-06,Gate 10,logical manuscript audit,Bind every DAG node to its source or certificate.,YES,YES,NO,MANUSCRIPT-CODE;DEPENDENCY-AUDIT,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-07,Gate 10,logical manuscript audit,Mark each node essential or redundant.,YES,YES,NO,MANUSCRIPT-CODE;DEPENDENCY-AUDIT,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-08,Gate 10,logical manuscript audit,Audit every use of all/every/exactly/unique/automatic/stable/maximal/complete/exhaustive/independently/certified.,YES,YES,NO,MANUSCRIPT-CODE;UNIVERSAL-CLAIM-AUDIT,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-09,Gate 10,logical manuscript audit,Account for every exception exactly once.,YES,YES,NO,MANUSCRIPT-CODE;CFSG-BOUNDARIES,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-10,Gate 10,logical manuscript audit,Make adjacent parameter ranges meet without gaps or overlaps.,YES,YES,NO,MANUSCRIPT-CODE;CFSG-BOUNDARIES,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-11,Gate 10,logical manuscript audit,Make every manuscript number agree with a generated manifest or certificate.,YES,YES,NO,MANUSCRIPT-CODE,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-12,Gate 10,logical manuscript audit,Make the proof roadmap generated from or checked against formal dependency data.,YES,YES,NO,MANUSCRIPT-CODE;FORMAL-CLEAN;DEPENDENCY-AUDIT,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-13,Gate 10,logical manuscript audit,"Permit only FORMAL-PASS, CITED-PASS, COMPUTED-PASS, REDUNDANT, or explicit UNRESOLVED while auditing.",YES,YES,NO,MANUSCRIPT-CODE,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-14,Gate 10,logical manuscript audit,Use binary gates with no weighted score or compensating evidence.,YES,YES,NO,MUTATIONS;MANUSCRIPT-CODE,"The audit checker, dependency DAG, and manuscript verifier fail on drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G10-15,Gate 10,dependency DAG,"Reject cycles, unreachable essential nodes, missing evidence paths, stale statuses, and missing numbered manuscript anchors in the dependency DAG.",YES,YES,NO,DEPENDENCY-AUDIT,"The independent DAG validator fails on every listed topology, evidence, and status defect.",PASS,Retain the checked schema and rerun after every proof or ledger edit.
G10-16,Gate 10,universal claim audit,"Freeze every high-risk manuscript occurrence with token, line, context hash, classification, evidence route, and audit note.",YES,YES,NO,UNIVERSAL-CLAIM-AUDIT,Fresh TeX extraction agrees row-for-row with the audited universal-claim manifest.,PASS,Review and regenerate the manifest deliberately after any manuscript edit.
IND-01,Independent evidence,independence policy,Count proof-assistant kernel verification as a distinct assurance layer.,YES,YES,NO,FORMAL-CLEAN,The evidence description and implementations meet the stated independence boundary.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IND-02,Independent evidence,independence policy,Count GAP subgroup construction/enumeration as a distinct assurance layer.,YES,YES,NO,COMP-FINITE-BASE,The evidence description and implementations meet the stated independence boundary.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IND-03,Independent evidence,independence policy,Use a separately written double-coset or equivalent saturation checker.,YES,YES,NO,COMP-K2,The evidence description and implementations meet the stated independence boundary.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IND-04,Independent evidence,independence policy,Use independent symbolic arithmetic code.,YES,YES,NO,ARITH-SYMBOLIC;COMP-INDEPENDENT,The evidence description and implementations meet the stated independence boundary.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IND-05,Independent evidence,independence policy,Use exact published classification results.,YES,YES,NO,SRC-CFSG-PINPOINT;SRC-MAXIMALITY,The evidence description and implementations meet the stated independence boundary.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IND-06,Independent evidence,independence policy,Use explicit exhaustive small-group model checking as redundant validation.,YES,YES,NO,COMP-FINITE-BASE,The evidence description and implementations meet the stated independence boundary.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IND-07,Independent evidence,independence policy,Do not count multiple AI reviews as independent mathematical evidence.,YES,YES,NO,ADV-PROOF-AUDITS,The evidence description and implementations meet the stated independence boundary.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
IND-08,Independent evidence,independence policy,Do not count two scripts that consume the same generated conclusion as independent.,YES,YES,NO,COMP-INDEPENDENT,The evidence description and implementations meet the stated independence boundary.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IND-09,Independent evidence,independence policy,Do not count coverage inventories generated by the same mechanism as independent.,YES,YES,NO,CFSG-INVENTORY,The evidence description and implementations meet the stated independence boundary.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
BUNDLE-01,Evidence bundle,release governance,Maintain the binary obligation ledger.,YES,YES,NO,MANUSCRIPT-CODE,"The named artifact exists, is hash-bound where appropriate, and is exercised by the gate.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
BUNDLE-02,Evidence bundle,release governance,Maintain the main-theorem dependency DAG.,YES,YES,NO,MANUSCRIPT-CODE;DEPENDENCY-AUDIT,"The named artifact exists, is hash-bound where appropriate, and is exercised by the gate.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
BUNDLE-03,Evidence bundle,release governance,Maintain the assumptions/trust-boundary document.,YES,YES,NO,MANUSCRIPT-CODE,"The named artifact exists, is hash-bound where appropriate, and is exercised by the gate.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
BUNDLE-04,Evidence bundle,release governance,Maintain the source ledger.,YES,YES,NO,SRC-CFSG-PINPOINT,"The named artifact exists, is hash-bound where appropriate, and is exercised by the gate.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
BUNDLE-05,Evidence bundle,release governance,Maintain the exact exception manifest.,YES,YES,NO,CFSG-BOUNDARIES,"The named artifact exists, is hash-bound where appropriate, and is exercised by the gate.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
BUNDLE-06,Evidence bundle,release governance,Maintain the stop-ship register.,YES,YES,NO,MANUSCRIPT-CODE;AUDIT-REPORTS,"The named artifact exists, is hash-bound where appropriate, and is exercised by the gate.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
BUNDLE-07,Evidence bundle,release governance,Maintain the red-team report.,YES,YES,NO,ADV-PROOF-AUDITS,"The named artifact exists, is hash-bound where appropriate, and is exercised by the gate.",OPEN,Close every mapped obligation without weakening its statement or required evidence.
BUNDLE-08,Evidence bundle,release governance,Maintain the binary submission report.,YES,YES,NO,MANUSCRIPT-CODE;AUDIT-REPORTS,"The named artifact exists, is hash-bound where appropriate, and is exercised by the gate.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
